id,pipeline,license,class,downloads,likes,url
alexgusevski/LLaMA-Mesh-q3-mlx,text-to-3d,llama3.1,other,13,0,https://huggingface.co/alexgusevski/LLaMA-Mesh-q3-mlx
jetx/Hunyuan3D-2mini,image-to-3d,other,unknown,12,0,https://huggingface.co/jetx/Hunyuan3D-2mini
alexgusevski/LLaMA-Mesh-q8-mlx,text-to-3d,llama3.1,other,12,1,https://huggingface.co/alexgusevski/LLaMA-Mesh-q8-mlx
ImrozeAslam/Hunyuan3D-2mini-test,image-to-3d,other,unknown,10,0,https://huggingface.co/ImrozeAslam/Hunyuan3D-2mini-test
SaaiAravindhRaja/Sharp,image-to-3d,apple-amlr,NON-COMMERCIAL,10,0,https://huggingface.co/SaaiAravindhRaja/Sharp
FishWoWater/Hunyuan3D-2.1,image-to-3d,other,unknown,9,0,https://huggingface.co/FishWoWater/Hunyuan3D-2.1
alexgusevski/LLaMA-Mesh-q6-mlx,text-to-3d,llama3.1,other,9,1,https://huggingface.co/alexgusevski/LLaMA-Mesh-q6-mlx
dylanebert/imagedream,image-to-3d,openrail,openrail(restricted),8,1,https://huggingface.co/dylanebert/imagedream
facebook/vfusion3d,image-to-3d,cc-by-nc-2.0,NON-COMMERCIAL,8,65,https://huggingface.co/facebook/vfusion3d
jetx/Hunyuan3D-2,image-to-3d,other,unknown,8,0,https://huggingface.co/jetx/Hunyuan3D-2
Manojb/Hunyuan3D-2,image-to-3d,other,unknown,8,0,https://huggingface.co/Manojb/Hunyuan3D-2
jgaubil/und3rstand-dust3r-224-linear,image-to-3d,unknown,unknown,8,1,https://huggingface.co/jgaubil/und3rstand-dust3r-224-linear
aaaaaaaaaaaaafaaaaaaaaaaa/Hunyuan3D-2,image-to-3d,other,unknown,8,0,https://huggingface.co/aaaaaaaaaaaaafaaaaaaaaaaa/Hunyuan3D-2
Abdualkader/Multi-View,image-to-3d,openrail,openrail(restricted),7,1,https://huggingface.co/Abdualkader/Multi-View
Abhikie18/Hunyuan3D-2,image-to-3d,other,unknown,7,0,https://huggingface.co/Abhikie18/Hunyuan3D-2
id-yun/Hunyuan3D-2,image-to-3d,other,unknown,7,0,https://huggingface.co/id-yun/Hunyuan3D-2
Akil999/Lyra-2.0,image-to-3d,unknown,unknown,7,0,https://huggingface.co/Akil999/Lyra-2.0
cyun9286/Align3R_DepthAnythingV2_ViTLarge_BaseDecoder_512_dpt,image-to-3d,unknown,unknown,6,5,https://huggingface.co/cyun9286/Align3R_DepthAnythingV2_ViTLarge_BaseDecoder_512_dpt
ImrozeAslam/Hunyuan3D-2-test,image-to-3d,other,unknown,6,0,https://huggingface.co/ImrozeAslam/Hunyuan3D-2-test
Pulkit2527/VGGT-1B-Commercial,image-to-3d,other,unknown,6,0,https://huggingface.co/Pulkit2527/VGGT-1B-Commercial
DOUGAa/Hunyuan3D-1,image-to-3d,other,unknown,6,0,https://huggingface.co/DOUGAa/Hunyuan3D-1
zxhezexin/openlrm-small-obj-1.0,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,5,7,https://huggingface.co/zxhezexin/openlrm-small-obj-1.0
camenduru/mast3r,image-to-3d,unknown,unknown,5,0,https://huggingface.co/camenduru/mast3r
SVECTOR-CORPORATION/ManiFold,image-to-3d,cc-by-nc-3.0,NON-COMMERCIAL,5,7,https://huggingface.co/SVECTOR-CORPORATION/ManiFold
Jyoti73ML/VGGT-1B-Commercial,image-to-3d,other,unknown,5,1,https://huggingface.co/Jyoti73ML/VGGT-1B-Commercial
bradwbu/Hunyuan3D-2.1,image-to-3d,other,unknown,5,0,https://huggingface.co/bradwbu/Hunyuan3D-2.1
Mic219/Hunyuan3D-2.1,image-to-3d,other,unknown,5,0,https://huggingface.co/Mic219/Hunyuan3D-2.1
moeqbadar/Hunyuan3D-2.1,image-to-3d,other,unknown,5,1,https://huggingface.co/moeqbadar/Hunyuan3D-2.1
zoooooooyuan/VGGT-1B,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,5,2,https://huggingface.co/zoooooooyuan/VGGT-1B
Scrappy-Doo/Hunyuan3D-2,image-to-3d,other,unknown,5,0,https://huggingface.co/Scrappy-Doo/Hunyuan3D-2
zxhezexin/openlrm-base-obj-1.0,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,4,13,https://huggingface.co/zxhezexin/openlrm-base-obj-1.0
Kai422kx/das3r_checkpoint-last.pth,image-to-3d,unknown,unknown,4,0,https://huggingface.co/Kai422kx/das3r_checkpoint-last.pth
jobs-git/Hunyuan3D-2,image-to-3d,other,unknown,4,0,https://huggingface.co/jobs-git/Hunyuan3D-2
zhang3z/FLARE,image-to-3d,unknown,unknown,4,0,https://huggingface.co/zhang3z/FLARE
hyz317/CHARM,image-to-3d,gpl-3.0,other,4,2,https://huggingface.co/hyz317/CHARM
Tony120380/Hunyuan3D-Omni,image-to-3d,other,unknown,4,0,https://huggingface.co/Tony120380/Hunyuan3D-Omni
xyhzzzh/SpatialGen-1.0,image-to-3d,creativeml-openrail-m,openrail(restricted),4,0,https://huggingface.co/xyhzzzh/SpatialGen-1.0
N0zero0d/Hunyuan3D-2.1,image-to-3d,other,unknown,4,0,https://huggingface.co/N0zero0d/Hunyuan3D-2.1
BTech-Industries/Lyra-2.0,image-to-3d,unknown,unknown,4,0,https://huggingface.co/BTech-Industries/Lyra-2.0
amitapl/Hunyuan3D-2,image-to-3d,other,unknown,4,0,https://huggingface.co/amitapl/Hunyuan3D-2
jobs-git/Hunyuan3D-1,text-to-3d,other,unknown,4,0,https://huggingface.co/jobs-git/Hunyuan3D-1
Gustav0-Freind/LLaMA-Mesh,text-to-3d,llama3.1,other,4,0,https://huggingface.co/Gustav0-Freind/LLaMA-Mesh
zxhezexin/openlrm-large-obj-1.0,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,3,6,https://huggingface.co/zxhezexin/openlrm-large-obj-1.0
not-lain/Michelangelo,image-to-3d,unknown,unknown,3,1,https://huggingface.co/not-lain/Michelangelo
nielsr/vggsfm,image-to-3d,cc-by-nc-sa-4.0,NON-COMMERCIAL,3,0,https://huggingface.co/nielsr/vggsfm
castlebbs/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),3,0,https://huggingface.co/castlebbs/multi-view-diffusion
alkarimj/3DModelTest,image-to-3d,openrail,openrail(restricted),3,0,https://huggingface.co/alkarimj/3DModelTest
Ypanacea/Pi3X,image-to-3d,unknown,unknown,3,0,https://huggingface.co/Ypanacea/Pi3X
Toshi8855/HY3D-Bench,image-to-3d,other,unknown,3,0,https://huggingface.co/Toshi8855/HY3D-Bench
SaaiAravindhRaja/Sharp-coreml,image-to-3d,apple-amlr,NON-COMMERCIAL,3,0,https://huggingface.co/SaaiAravindhRaja/Sharp-coreml
DOUGAa/Hunyuan3D-2.1,image-to-3d,other,unknown,3,0,https://huggingface.co/DOUGAa/Hunyuan3D-2.1
Ademola265/HY-Motion-1.0,text-to-3d,other,unknown,3,0,https://huggingface.co/Ademola265/HY-Motion-1.0
BermanOmri90/3d-course-demo,image-to-3d,openrail,openrail(restricted),2,0,https://huggingface.co/BermanOmri90/3d-course-demo
kumarhans/multi_view_sample,image-to-3d,openrail,openrail(restricted),2,0,https://huggingface.co/kumarhans/multi_view_sample
mihirdeo16/multi-view-diffusion-3d-ml,image-to-3d,openrail,openrail(restricted),2,0,https://huggingface.co/mihirdeo16/multi-view-diffusion-3d-ml
Shashanksp08/shashanknew,image-to-3d,openrail,openrail(restricted),2,0,https://huggingface.co/Shashanksp08/shashanknew
Tengpaz/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),2,1,https://huggingface.co/Tengpaz/multi-view-diffusion
jobs-git/Hunyuan3D-2.1,image-to-3d,other,unknown,2,0,https://huggingface.co/jobs-git/Hunyuan3D-2.1
behka57/mv-diffusion,image-to-3d,openrail,openrail(restricted),2,0,https://huggingface.co/behka57/mv-diffusion
tsnave/my-model,image-to-3d,openrail,openrail(restricted),2,0,https://huggingface.co/tsnave/my-model
Translsis/Hunyuan3D-2.1,image-to-3d,other,unknown,2,0,https://huggingface.co/Translsis/Hunyuan3D-2.1
dgfx/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),2,0,https://huggingface.co/dgfx/multi-view-diffusion
Ashokkara/Hunyuan3D-2.1,image-to-3d,other,unknown,2,0,https://huggingface.co/Ashokkara/Hunyuan3D-2.1
Schalkiesss/Hunyuan3D-2.1,image-to-3d,other,unknown,2,0,https://huggingface.co/Schalkiesss/Hunyuan3D-2.1
Zhzzzzz/Hunyuan3D-2.1,image-to-3d,other,unknown,2,2,https://huggingface.co/Zhzzzzz/Hunyuan3D-2.1
jpuri/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),2,0,https://huggingface.co/jpuri/multi-view-diffusion
shipitirl/Hunyuan3D-2.1,image-to-3d,other,unknown,2,0,https://huggingface.co/shipitirl/Hunyuan3D-2.1
EatingBeans/Hunyuan3D-2.1,image-to-3d,other,unknown,2,0,https://huggingface.co/EatingBeans/Hunyuan3D-2.1
dibaainiyou/MASt3R_ViTLarge_BaseDecoder_512_catmlpdpt_metric,image-to-3d,unknown,unknown,2,0,https://huggingface.co/dibaainiyou/MASt3R_ViTLarge_BaseDecoder_512_catmlpdpt_metric
Dynamo137/Hunyuan3D-2mini,image-to-3d,other,unknown,2,1,https://huggingface.co/Dynamo137/Hunyuan3D-2mini
Rishishah241/Hunyuan3D-2mv,image-to-3d,other,unknown,2,0,https://huggingface.co/Rishishah241/Hunyuan3D-2mv
Antided/Hunyuan3D-Omni,image-to-3d,other,unknown,2,0,https://huggingface.co/Antided/Hunyuan3D-Omni
Soiken/Hunyuan3D-2.1,image-to-3d,other,unknown,2,0,https://huggingface.co/Soiken/Hunyuan3D-2.1
dylanebert/mvdream,text-to-3d,openrail,openrail(restricted),2,7,https://huggingface.co/dylanebert/mvdream
uwantcheats/LLaMA-Mesh,text-to-3d,llama3.1,other,2,1,https://huggingface.co/uwantcheats/LLaMA-Mesh
shankartr123/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/shankartr123/multi-view-diffusion
dlux2015/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/dlux2015/multi-view-diffusion
proplayer69/multiviewdiffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/proplayer69/multiviewdiffusion
Lolotestin/multiview_diff,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/Lolotestin/multiview_diff
stephanbrez/multiview-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/stephanbrez/multiview-diffusion
miergo/multi_view_,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/miergo/multi_view_
davedis1997/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/davedis1997/multi-view-diffusion
tanittha/mein-multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/tanittha/mein-multi-view-diffusion
Phani0404/nova,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/Phani0404/nova
reiirene/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/reiirene/multi-view-diffusion
kebablysis/multi-view-test,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/kebablysis/multi-view-test
cameron-d/multi-view-diffusion-course,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/cameron-d/multi-view-diffusion-course
a-r-orr/multi-view-diffusion-first-test,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/a-r-orr/multi-view-diffusion-first-test
ev1e/3dmodel,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/ev1e/3dmodel
dianonu/diana,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/dianonu/diana
prochitecture/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/prochitecture/multi-view-diffusion
marianaas8/MultiviewDiffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/marianaas8/MultiviewDiffusion
amansingh1528/diffuser,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/amansingh1528/diffuser
Akash887/My-Multi-View-Diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/Akash887/My-Multi-View-Diffusion
aadikrish001/my-multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/aadikrish001/my-multi-view-diffusion
IMasI2Cat/hf3dmldiffimas,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/IMasI2Cat/hf3dmldiffimas
Sohom2003/my-multi-view-diffusion,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/Sohom2003/my-multi-view-diffusion
DhruvDecoder/model_3d_diffuser,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/DhruvDecoder/model_3d_diffuser
tybi08/ragnar,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/tybi08/ragnar
zimengxiong/Modelr-SF3D,image-to-3d,other,unknown,1,1,https://huggingface.co/zimengxiong/Modelr-SF3D
hackbones/MVDx1,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/hackbones/MVDx1
descentbrine/Sharp-coreml,image-to-3d,apple-amlr,NON-COMMERCIAL,1,0,https://huggingface.co/descentbrine/Sharp-coreml
Jing12321/slam3r_i2p,image-to-3d,unknown,unknown,1,0,https://huggingface.co/Jing12321/slam3r_i2p
vinnnz/hf_3d_course2,image-to-3d,openrail,openrail(restricted),1,0,https://huggingface.co/vinnnz/hf_3d_course2
tt20140604/Hunyuan3D-2.1,image-to-3d,other,unknown,1,0,https://huggingface.co/tt20140604/Hunyuan3D-2.1
Peng-Wang/ImageDream,image-to-3d,openrail,openrail(restricted),0,39,https://huggingface.co/Peng-Wang/ImageDream
FrozenBurning/SceneDreamer,image-to-3d,other,unknown,0,44,https://huggingface.co/FrozenBurning/SceneDreamer
Rompo/Rompov,image-to-3d,unknown,unknown,0,3,https://huggingface.co/Rompo/Rompov
dylanebert/EasyVolcap,image-to-3d,other,unknown,0,5,https://huggingface.co/dylanebert/EasyVolcap
dylanebert/4K4D,image-to-3d,other,unknown,0,7,https://huggingface.co/dylanebert/4K4D
dylanebert/3DFauna,image-to-3d,unknown,unknown,0,3,https://huggingface.co/dylanebert/3DFauna
dylanebert/HarmonyView,image-to-3d,unknown,unknown,0,1,https://huggingface.co/dylanebert/HarmonyView
dylanebert/DSINE,image-to-3d,unknown,unknown,0,6,https://huggingface.co/dylanebert/DSINE
dylanebert/StyleGaussian,image-to-3d,unknown,unknown,0,3,https://huggingface.co/dylanebert/StyleGaussian
dylanebert/mvsplat,image-to-3d,unknown,unknown,0,5,https://huggingface.co/dylanebert/mvsplat
Bianribian/Gian,image-to-3d,artistic-2.0,other,0,0,https://huggingface.co/Bianribian/Gian
paulengstler/invisible-stitch,image-to-3d,unknown,unknown,0,3,https://huggingface.co/paulengstler/invisible-stitch
m27m27/courseMVSDifuusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/m27m27/courseMVSDifuusion
KenanKhan/my-multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/KenanKhan/my-multi-view-diffusion
mromerocastro/3d2xr,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/mromerocastro/3d2xr
chadlinden/stablediffusion1,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/chadlinden/stablediffusion1
Ryukijano/Multiview_diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/Ryukijano/Multiview_diffusion
amiltonwong/mvd,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/amiltonwong/mvd
myszopanda/blenda,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/myszopanda/blenda
facebook/VGGSfM,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,8,https://huggingface.co/facebook/VGGSfM
ssontag/CM-A_Tests,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/ssontag/CM-A_Tests
rakkateichou/multi-view-diffusion-course,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/rakkateichou/multi-view-diffusion-course
Froggypan/ML3Dtutorial,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/Froggypan/ML3Dtutorial
2gnak/multi-view-diffusion-demo,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/2gnak/multi-view-diffusion-demo
Xeracle/my-multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/Xeracle/my-multi-view-diffusion
twnatelo/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/twnatelo/multi-view-diffusion
fgkhvgkv/model1,image-to-3d,unknown,unknown,0,0,https://huggingface.co/fgkhvgkv/model1
vitamin-c-sharp/multiview-diffusion-generator,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/vitamin-c-sharp/multiview-diffusion-generator
Magical1/multi-view-diffusion_test,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/Magical1/multi-view-diffusion_test
ADSKAILab/Make-A-Shape-single-view-20m,image-to-3d,other,unknown,0,4,https://huggingface.co/ADSKAILab/Make-A-Shape-single-view-20m
zzzinuzzz/nackedei,image-to-3d,cc,other,0,0,https://huggingface.co/zzzinuzzz/nackedei
shrutin97/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/shrutin97/multi-view-diffusion
FermiQ/multiViewdiff,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/FermiQ/multiViewdiff
ADSKAILab/Make-A-Shape-multi-view-20m,image-to-3d,other,unknown,0,6,https://huggingface.co/ADSKAILab/Make-A-Shape-multi-view-20m
jkorstad/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/jkorstad/multi-view-diffusion
jayc0207/js_multi_view_diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/jayc0207/js_multi_view_diffusion
a4mula/multiview-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/a4mula/multiview-diffusion
ADSKAILab/WaLa-SV-1B,image-to-3d,other,unknown,0,5,https://huggingface.co/ADSKAILab/WaLa-SV-1B
ADSKAILab/WaLa-RGB4-1B,image-to-3d,other,unknown,0,1,https://huggingface.co/ADSKAILab/WaLa-RGB4-1B
ADSKAILab/WaLa-DM4-1B,image-to-3d,other,unknown,0,0,https://huggingface.co/ADSKAILab/WaLa-DM4-1B
ADSKAILab/WaLa-DM6-1B,image-to-3d,other,unknown,0,0,https://huggingface.co/ADSKAILab/WaLa-DM6-1B
ADSKAILab/WaLa-SK-1B,image-to-3d,other,unknown,0,0,https://huggingface.co/ADSKAILab/WaLa-SK-1B
ZoraBesho/Zora,image-to-3d,llama3.2,other,0,0,https://huggingface.co/ZoraBesho/Zora
dorukbenli/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/dorukbenli/multi-view-diffusion
DahVip/romulus,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/DahVip/romulus
jurmy24/multi-view-diffusion,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/jurmy24/multi-view-diffusion
ADSKAILab/WaLa-DM1-1B,image-to-3d,other,unknown,0,0,https://huggingface.co/ADSKAILab/WaLa-DM1-1B
Gynjn/SelfSplat,image-to-3d,unknown,unknown,0,1,https://huggingface.co/Gynjn/SelfSplat
kavathiya/multi-view-diff,image-to-3d,openrail,openrail(restricted),0,0,https://huggingface.co/kavathiya/multi-view-diff
YJET/1,image-to-3d,unknown,unknown,0,0,https://huggingface.co/YJET/1
Zhenggang/MV-DUSt3R,image-to-3d,cc-by-nc-4.0,NON-COMMERCIAL,0,9,https://huggingface.co/Zhenggang/MV-DUSt3R
